timestamp,proc_stat_cpu_all,proc_stat_cpu_guest,proc_stat_cpu_idle,proc_stat_cpu_iowait,proc_stat_cpu_irq,proc_stat_cpu_nguest,proc_stat_cpu_nice,proc_stat_cpu_num,proc_stat_cpu_soft,proc_stat_cpu_steal,proc_stat_cpu_sys,proc_stat_cpu_user
1458839142,1,0,99,0,0,0,0,24,0,0,0,0
1458839143,1,0,99,0,0,0,0,24,0,0,0,0
1458839144,1,0,99,0,0,0,0,24,0,0,0,0
1458839145,0,0,123,0,0,0,0,24,0,0,1,0
1458839146,6,1,94,0,0,0,0,24,1,0,1,2
1458839147,2,0,98,0,0,0,0,24,0,0,0,1
1458839148,1,0,99,0,0,0,0,24,0,0,0,0
1458839149,6,1,94,0,0,0,0,24,1,0,1,1
1458839150,2,0,98,0,0,0,0,24,0,0,0,0
1458839151,2,0,98,0,0,0,0,24,0,0,0,1
1458839152,5,1,95,0,0,0,0,24,1,0,0,1
1458839153,3,0,97,0,0,0,0,24,0,0,0,1
1458839154,3,0,97,0,0,0,0,24,0,0,0,1
1458839155,0,1,121,0,0,0,0,24,1,0,2,1
1458839156,5,1,95,0,0,0,0,24,1,0,0,1
1458839157,1,0,99,0,0,0,0,24,0,0,0,0
1458839158,4,1,96,0,0,0,0,24,1,0,0,1
1458839159,4,0,96,0,0,0,0,24,0,0,0,1
1458839160,1,0,99,0,0,0,0,24,0,0,0,0
1458839161,5,1,95,0,0,0,0,24,1,0,1,1
1458839162,3,0,97,0,0,0,0,24,0,0,0,1
1458839164,1,0,99,0,0,0,0,24,0,0,0,0
1458839165,4,0,96,0,0,0,0,24,0,0,0,1
1458839166,0,1,120,0,0,0,0,24,0,0,2,1
1458839167,1,0,99,0,0,0,0,24,0,0,0,0
1458839168,3,0,97,0,0,0,0,24,0,0,0,1
1458839169,5,1,95,0,0,0,0,24,1,0,0,1
1458839170,1,0,99,0,0,0,0,24,0,0,0,0
1458839171,3,0,97,0,0,0,0,24,0,0,0,1
1458839172,4,1,96,0,0,0,0,24,0,0,0,1
1458839173,3,0,97,0,0,0,0,24,0,0,0,1
1458839174,0,1,155,0,0,0,0,24,1,0,1,2
1458839175,3,0,97,0,0,0,0,24,0,0,0,1
1458839177,0,0,127,0,0,0,0,24,0,0,2,1
1458839178,4,1,96,0,0,0,0,24,1,0,0,1
1458839179,1,0,99,0,0,0,0,24,0,0,0,0
1458839180,3,0,97,0,0,0,0,24,0,0,0,1
1458839181,5,1,95,0,0,0,0,24,1,0,0,1
1458839182,1,0,99,0,0,0,0,24,0,0,0,0
1458839183,4,1,96,0,0,0,0,24,0,0,1,1
1458839184,4,1,96,0,0,0,0,24,0,0,0,1
1458839185,1,0,99,0,0,0,0,24,0,0,0,0
1458839186,3,0,97,0,0,0,0,24,0,0,0,1
1458839187,0,0,128,0,0,0,0,24,0,0,2,1
1458839188,2,0,98,0,0,0,0,24,0,0,0,0
1458839189,2,0,98,0,0,0,0,24,0,0,0,1
1458839190,4,1,96,0,0,0,0,24,0,0,0,1
1458839191,2,0,98,0,0,0,0,24,0,0,0,1
1458839192,3,0,97,0,0,0,0,24,0,0,0,1
1458839193,5,1,95,0,0,0,0,24,1,0,0,1
1458839194,1,0,99,0,0,0,0,24,0,0,0,0
1458839195,3,0,97,0,0,0,0,24,0,0,0,1
1458839196,5,1,95,0,0,0,0,24,1,0,0,1
1458839198,0,1,125,0,0,0,0,24,0,0,2,1
1458839199,1,0,99,0,0,0,0,24,0,0,0,0
1458839200,4,0,96,0,0,0,0,24,0,0,0,1
1458839201,5,1,95,0,0,0,0,24,1,0,0,1
1458839202,1,0,99,0,0,0,0,24,0,0,0,0
1458839203,4,1,96,0,0,0,0,24,0,0,0,1
1458839204,4,1,96,0,0,0,0,24,1,0,0,1
1458839205,1,0,99,0,0,0,0,24,0,0,0,0
1458839206,5,1,95,0,0,0,0,24,1,0,0,1
1458839207,4,1,96,0,0,0,0,24,0,0,0,1
1458839208,0,1,129,0,0,0,0,24,0,0,2,1
1458839209,2,0,98,0,0,0,0,24,0,0,0,1
1458839210,4,1,96,0,0,0,0,24,0,0,0,1
1458839211,3,0,97,0,0,0,0,24,0,0,0,1
1458839212,3,0,97,0,0,0,0,24,0,0,0,1
1458839213,4,1,96,0,0,0,0,24,0,0,0,1
1458839214,2,0,98,0,0,0,0,24,0,0,0,0
1458839215,4,0,96,0,0,0,0,24,0,0,0,1
1458839216,5,1,95,0,0,0,0,24,1,0,0,1
1458839217,2,0,98,0,0,0,0,24,0,0,0,0
1458839219,0,1,129,0,0,0,0,24,1,0,2,1
